"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0051965","GO:0051965","positive regulation of synapse assembly",56,0.580946930871197,2.36720768517231,1.62406010386398e-07,4.39972646319514e-05,3.48123888292374e-05,1321,"tags=50%, list=13%, signal=44%","Asic2/Lrrtm3/Ghrl/Adgrl3/Il1rapl1/Ntrk3/Adgrb3/Nlgn1/Wnt7a/Adgrl2/Cux2/St8sia2/Adgrb2/Adgrb1/Lrrtm4/Nrxn1/Flrt2/Grid2/Ephb1/Agrn/Syndig1/Clstn3/Adnp/Amigo2/Cbln2/Slitrk4/Flrt3/Slitrk1"
"GO:0007626","GO:0007626","locomotory behavior",196,0.394424801844816,1.96927455374673,2.00229153198391e-07,4.9723573044267e-05,3.93432722074031e-05,2459,"tags=42%, list=24%, signal=32%","Kcnd2/Fign/Epha4/Adcy5/Chd7/Otog/Drd2/Adgrl3/Dscam/Zfhx3/Grm5/Dbn1/Atxn1/Sobp/Ppp1r1b/Kalrn/Lsamp/Htr2c/Cntnap2/Cacna1c/Ccnd2/Klhl1/Mapk10/Fgf14/Cacna1e/Negr1/Hipk2/Cacna1b/Penk/Dab1/Oprk1/Rcan1/Meis1/Atp2b2/Npas2/Drd1/Adora2a/Btbd9/Nkx2-1/Fgf12/Dmd/Prkce/Chl1/Astn1/Npas3/Grn/Ntsr1/Nav2/Gigyf2/Enpp1/Scn8a/Large1/Inpp5f/Ankfn1/Shank2/Rcan2/Pde1b/Hexa/Kcnma1/Celsr1/Tnr/Alk/Eps8/Fkrp/Aplp2/Pak5/Usp2/Abca2/Ncor1/Prkn/Zdhhc8/Ntan1/Glra1/Mtor/Uba6/Pmp22/Fshr/Fig4/Crhr1/Adcy8/Clcn3/Cacnb4"
"GO:0006813","GO:0006813","potassium ion transport",147,0.424238729355543,2.05680249103541,2.3518693638601e-07,5.3912082340793e-05,4.26573876521994e-05,1884,"tags=37%, list=18%, signal=30%","Kcnd2/Dpp6/Kcnq1/Drd2/Kcnc1/Kcne2/Kcnq5/Slc24a4/Kcnj12/Kcnk2/Kcnq2/Kcnf1/Ano6/Kcnd3/Kcnh1/Kcnip2/Kcng1/Oprk1/Akap9/Kcnk9/Kcng2/Cdkn1b/Agrn/Kcnip1/Cacna1d/Kcnip4/Ank3/Wnk2/Nr3c2/Akap5/Kcnk13/Kcnj6/Atp1b1/Nalcn/Rnf207/Kcnk3/Ank2/Kcnt2/Kcnb1/Kcnq3/Kcnv1/Dpp10/Lrrc38/Adrb2/Large1/Kcnc2/Abcb8/Kcnk5/Kcnma1/Akap7/Adora1/Atp1a1/Hcn4/Klhl24"
"GO:0001508","GO:0001508","action potential",102,0.47178091429954,2.1478743841439,2.79642411409077e-07,5.95238847142178e-05,4.70976692899498e-05,2509,"tags=48%, list=24%, signal=37%","Kcnd2/Dpp6/Kcnq1/Foxp1/Fgf13/Cacna1h/Kcne2/Ntrk3/Kcnq2/Pawr/Cntnap2/Cacna1c/Cacna1g/Kcnip2/Akap9/Kcnip1/Cacna1d/Ank3/Tacr1/Drd1/Cacna1i/Gria1/Cacnb2/Fgf12/Dmd/Scn2b/Grin2b/Rnf207/Ank2/Kcnb1/Kcnq3/Scn8a/Kcnc2/Cacna2d1/Kcnma1/Nrcam/Mtnr1b/Gba1/Cnr1/Hcn4/Glra1/Mtor/Kcna2/Pmp22/Slc4a3/Cacnb4/Slc8a2/Scn10a/Fmr1"
"GO:1903522","GO:1903522","regulation of blood circulation",170,0.395672122302207,1.94425705062284,4.64348355813531e-07,9.22505400216216e-05,7.29923029489341e-05,1385,"tags=29%, list=14%, signal=25%","Asic2/Kcnd2/Chrm2/Ghrl/Kcnq1/Chrm3/Drd2/Fgf13/Cacna1h/Adra2c/Kcne2/Egfr/Arhgap42/Popdc2/Kcnd3/Htr2c/Cacna1c/Dock5/Rbfox2/Thrb/Cacna1g/Kcnip2/Cacna1e/Sema3a/Dock4/Cacna1b/Add3/Itga9/Akap9/Agrn/Pde4b/Smad6/Cacna1d/Bmpr2/Hdac4/Tacr1/Drd1/Cacnb2/Dmd/Scn2b/Atp1b1/Adra2b/Rnf207/Ank2/Srebf1/Rnls/Atp2b4/Slc8a1/Adrb2"
"GO:0099054","GO:0099054","presynapse assembly",43,0.613380411807909,2.33832557201117,6.36509313876456e-07,0.000111576338550108,8.82836447729574e-05,1336,"tags=56%, list=13%, signal=49%","Lrrtm3/Pcdh17/Cadm1/Il1rapl1/Cntn5/Ntrk3/Lrfn5/Nlgn1/Wnt7a/Il1rapl2/Mdga2/Nrxn1/Ptprs/Grid2/Clstn3/Gpc4/Cbln2/Arf6/Pclo/Nlgn4l/Slitrk4/Fzd1/Slitrk1/Bsn"
"GO:0048813","GO:0048813","dendrite morphogenesis",158,0.400716252294843,1.95094089087859,6.27701759739365e-07,0.000111576338550108,8.82836447729574e-05,1254,"tags=26%, list=12%, signal=23%","Epha4/Robo1/Phactr1/Lzts3/Dscam/Il1rapl1/Dbn1/Ppp3ca/Adgrb3/Klf7/Ngef/Nlgn1/Wnt7a/Cux2/Kalrn/Ctnna2/Ptprf/Cntnap2/Rbfox2/Lrp8/Ppfia2/Cdkl5/Sema3a/Abi2/Ephb1/Cask/Itpka/Hecw2/Ss18l1/Epha5/Cux1/Fyn/Met/Akap5/Trpc5/Ctnnd2/Hecw1/Ptprz1/Tet1/Grip1/Dnm3"
"GO:0099172","GO:0099172","presynapse organization",49,0.579219709674065,2.25413377211843,1.17713684493353e-06,0.000194881544327884,0.000154198042845093,1336,"tags=53%, list=13%, signal=46%","Lrrtm3/Pcdh17/Cadm1/Il1rapl1/Cntn5/Ntrk3/Lrfn5/Nlgn1/Wnt7a/Il1rapl2/Mdga2/Nrxn1/Ptprs/Cap2/Grid2/Arhgef7/Clstn3/Gpc4/Cbln2/Arf6/Pclo/Nlgn4l/Slitrk4/Fzd1/Slitrk1/Bsn"
"GO:0032409","GO:0032409","regulation of transporter activity",145,0.415298376225906,2.00608618877124,1.28310678404498e-06,0.000201245169287054,0.00015923319646874,1173,"tags=26%, list=11%, signal=24%","Cftr/Kcnq1/Chrm3/Drd2/Bcl2/Fgf13/Grm5/Kcne2/Cnih3/Prkcd/Nlgn1/Fgf14/Cacng4/Cacng2/Shisa9/Nrxn1/Plcb1/Akap9/Gsg1l/Cacng3/Hecw2/Agrn/Slc5a1/Cacna1d/Ank3/Wnk2/Nr3c2/Cacnb2/Fgf12/Dmd/Scn2b/Atp1b1/Shisa6/Rnf207/Hecw1/Ank2/Jph3/Cbarp"
"GO:0043266","GO:0043266","regulation of potassium ion transport",70,0.505959404553097,2.14524576065383,1.81735853937227e-06,0.000270786422366468,0.000214257006747047,2068,"tags=41%, list=20%, signal=33%","Dpp6/Kcnq1/Drd2/Kcnc1/Kcne2/Ano6/Kcnip2/Oprk1/Akap9/Agrn/Kcnip1/Cacna1d/Kcnip4/Ank3/Wnk2/Nr3c2/Akap5/Atp1b1/Rnf207/Ank2/Dpp10/Lrrc38/Adrb2/Kcnc2/Akap7/Adora1/Klhl24/Kcnip3/Lrrc55"
"GO:0140241","GO:0140241","translation at synapse",30,-0.661202575342571,-2.24887212969017,2.52491210669048e-06,0.000327416130104522,0.000259064687896196,2319,"tags=73%, list=23%, signal=57%","Rps10/Rpl13/Rpl10a/Rpl5/Rps14/Rpl4/Rpl12/Rpl14/Rplp2/Rps12/Rpl34/Rpl38/Rpl35a/Rpl8/Rpl27/Rpl37a/Rpl26/Rps15a/Rpl24/Rps16/Rps28/Rpl29"
"GO:0140242","GO:0140242","translation at postsynapse",30,-0.661202575342571,-2.24887212969017,2.52491210669048e-06,0.000327416130104522,0.000259064687896196,2319,"tags=73%, list=23%, signal=57%","Rps10/Rpl13/Rpl10a/Rpl5/Rps14/Rpl4/Rpl12/Rpl14/Rplp2/Rps12/Rpl34/Rpl38/Rpl35a/Rpl8/Rpl27/Rpl37a/Rpl26/Rps15a/Rpl24/Rps16/Rps28/Rpl29"
"GO:1904062","GO:1904062","regulation of monoatomic cation transmembrane transport",194,0.375424264757169,1.87040495787942,2.52703724577316e-06,0.000327416130104522,0.000259064687896196,1566,"tags=28%, list=15%, signal=24%","Dpp6/Chd7/Kcnq1/Drd2/Bcl2/Fgf13/Kcnc1/Kcne2/Ppp3ca/Ano6/Cacna1c/Fgf14/Kcnip2/Plcb1/Plcg1/Oprk1/Akap9/Prkd1/Hecw2/Agrn/Kcnip1/Pde4b/Cacna1d/Kcnip4/Ank3/Wnk2/Fyn/Nr3c2/Drd1/Cacnb2/Akap5/Fgf12/Dmd/Prkce/Scn2b/Atp1b1/Ptpn6/Rnf207/Hecw1/Ank2/Ubash3b/Jph3/Cbarp/Ntsr1/Atp2b4/Slc8a1/Dpp10/Lrrc38/Adrb2/Pik3c2a/Kcnc2/Rgs9/Cemip/Cacna2d1/Tgfb2"
"GO:1901379","GO:1901379","regulation of potassium ion transmembrane transport",55,0.544727767430083,2.20053714777251,2.95524032772242e-06,0.000366942340692201,0.000290339400618343,2068,"tags=45%, list=20%, signal=36%","Dpp6/Kcnq1/Kcnc1/Kcne2/Ano6/Kcnip2/Oprk1/Akap9/Agrn/Kcnip1/Cacna1d/Kcnip4/Ank3/Wnk2/Nr3c2/Atp1b1/Rnf207/Ank2/Dpp10/Lrrc38/Kcnc2/Akap7/Klhl24/Kcnip3/Lrrc55"
"GO:0140236","GO:0140236","translation at presynapse",29,-0.667644267863243,-2.26292151927619,3.64658206299216e-06,0.000432958766205311,0.000342574226880924,2319,"tags=76%, list=23%, signal=59%","Rps10/Rpl13/Rpl10a/Rpl5/Rps14/Rpl4/Rpl12/Rpl14/Rplp2/Rps12/Rpl34/Rpl38/Rpl35a/Rpl8/Rpl27/Rpl37a/Rpl26/Rps15a/Rpl24/Rps16/Rps28/Rpl29"
"GO:0032412","GO:0032412","regulation of monoatomic ion transmembrane transporter activity",131,0.418379434383497,1.9898535609734,3.8788088021659e-06,0.000432958766205311,0.000342574226880924,1173,"tags=27%, list=11%, signal=24%","Cftr/Kcnq1/Chrm3/Drd2/Fgf13/Grm5/Kcne2/Cnih3/Nlgn1/Fgf14/Cacng4/Cacng2/Shisa9/Nrxn1/Plcb1/Akap9/Gsg1l/Cacng3/Hecw2/Agrn/Cacna1d/Ank3/Wnk2/Nr3c2/Cacnb2/Fgf12/Dmd/Scn2b/Atp1b1/Shisa6/Rnf207/Hecw1/Ank2/Jph3/Cbarp"
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity",136,0.412895650270163,1.97965126678386,3.92278076763201e-06,0.000432958766205311,0.000342574226880924,1173,"tags=26%, list=11%, signal=24%","Cftr/Kcnq1/Chrm3/Drd2/Bcl2/Fgf13/Grm5/Kcne2/Cnih3/Nlgn1/Fgf14/Cacng4/Cacng2/Shisa9/Nrxn1/Plcb1/Akap9/Gsg1l/Cacng3/Hecw2/Agrn/Cacna1d/Ank3/Wnk2/Nr3c2/Cacnb2/Fgf12/Dmd/Scn2b/Atp1b1/Shisa6/Rnf207/Hecw1/Ank2/Jph3/Cbarp"
"GO:1901890","GO:1901890","positive regulation of cell junction assembly",87,0.47709635068264,2.12119794088227,4.29428449617467e-06,0.000457034564235733,0.000361623957572604,1321,"tags=37%, list=13%, signal=32%","Asic2/Lrrtm3/Ghrl/Adgrl3/Il1rapl1/Ntrk3/Adgrb3/Nlgn1/Wnt7a/Adgrl2/Cux2/St8sia2/Adgrb2/Adgrb1/Cntnap2/Lrrtm4/Nrxn1/Flrt2/Grid2/Ephb1/Agrn/Myoc/Syndig1/Clstn3/Smad3/Map4k4/Adnp/Amigo2/Cbln2/Slitrk4/Flrt3/Slitrk1"
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway",80,0.478695189956897,2.07056422880776,5.32364542982091e-06,0.000547050461409184,0.000432848122061664,1861,"tags=45%, list=18%, signal=37%","Adcy5/Calcr/Drd2/Pde10a/Adgrl3/Adra2c/Calcb/Adgrb3/Ramp3/Adgrl2/Adgrb2/Adgrb1/Grk5/Htr4/Ramp1/Gnal/Pde4b/Sstr4/Drd1/Gna13/Adora2a/Akap13/Drd5/Adra2b/Adgrl4/Adcy1/Adcy2/Atp2b4/Adrb2/Adgrg2/Calcrl/Gpr61/Chga/Adcy9/Adrb1/Cnr1"
"GO:0099601","GO:0099601","regulation of neurotransmitter receptor activity",29,0.635980258634631,2.1986586538621,5.79814666881551e-06,0.000547805843477007,0.000433445810451606,1385,"tags=52%, list=14%, signal=45%","Cnih3/Dlgap4/Dlgap2/Begain/Nlgn1/Cacng4/Cacng2/Shisa9/Nrxn1/Dlgap1/Gsg1l/Cacng3/Shisa6/Homer3/Adrb2"
"GO:0050773","GO:0050773","regulation of dendrite development",109,0.434745197685707,2.00422551028672,5.82250862960885e-06,0.000547805843477007,0.000433445810451606,2797,"tags=50%, list=27%, signal=36%","Epha4/Robo1/Il1rapl1/Dbn1/Ppp3ca/Fat3/Adgrb3/Cux2/Kalrn/Ptprf/Lrp8/Csmd3/Cdkl5/Cask/Itpka/Prex1/Hecw2/Ss18l1/Bcl11a/Cux1/Met/Akap5/Trpc5/Crtc1/Arf6/Bmp7/Hecw1/Ptprz1/Grip1/Ezh2/Mfsd2a/Camk1d/Tnik/Dab2ip/Alk/Sipa1l1/Tiam1/Fbxw8/Gsk3b/Ephb2/Caprin2/Abl1/Afdn/Kndc1/Bmp5/Wls/Dhx36/Cul7/Parp6/Grin1/Nedd4/Rapgef2/Anapc2/Nsmf"
"GO:0050905","GO:0050905","neuromuscular process",124,0.421741282519627,1.99422217270233,5.88247885612893e-06,0.000547805843477007,0.000433445810451606,2573,"tags=48%, list=25%, signal=36%","Adcy5/Drd2/Dbn1/Vti1a/Rbfox1/Itpr1/Ctnna2/Cntnap2/Rbfox2/Kcnh1/Fgf14/Nrxn1/Hipk2/Penk/Grid2/Csmd1/Ap1s2/Prkd1/Atp2b2/Pomk/Slc8a3/Adora2a/Tpp1/Fgf12/Dmd/Bace1/Grin2b/Npas3/Jph3/Gigyf2/Ush1c/Igdcc3/Adrb2/Large1/Bcr/Ankfn1/Hexa/Kcnma1/Tnr/Fkrp/Aplp2/Gba1/Bloc1s4/Stac/Prkn/Ei24/Glra1/Myh10/Parp1/Abl1/Mtor/Tshz3/Pmp22/Tnnc1/Clic5/Nbn/Map1a/Rem1/Atp8a2"
"GO:0099558","GO:0099558","maintenance of synapse structure",27,0.651884815139769,2.19704171462464,7.06693880243204e-06,0.000638165988825681,0.000504942357813326,1336,"tags=59%, list=13%, signal=52%","Adgrl3/Cadm1/C1ql1/Adgrb3/Nlgn1/Plxna4/Cntnap2/Nrxn1/Sema3a/Dlg2/Erc1/Cbln2/Arf6/Rapsn/Grn/Bsn"
"GO:1901381","GO:1901381","positive regulation of potassium ion transmembrane transport",24,0.674385190166623,2.21594419143963,9.57140445884626e-06,0.000750599612825312,0.000593904320992123,1740,"tags=58%, list=17%, signal=49%","Dpp6/Kcnq1/Kcnc1/Ano6/Kcnip2/Oprk1/Akap9/Wnk2/Atp1b1/Rnf207/Ank2/Lrrc38/Kcnc2/Akap7"
"GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",29,0.628173853255201,2.17167099110054,9.4821182574289e-06,0.000750599612825312,0.000593904320992123,1595,"tags=52%, list=16%, signal=44%","Cdh4/Tenm4/Cadm1/Il1rapl1/Tenm3/Nlgn1/Tenm1/Nrxn1/Grid2/Cadm3/Amigo2/Hmcn1/Alcam/Tenm2/Cdh2"
"GO:0019226","GO:0019226","transmission of nerve impulse",67,0.498241933867552,2.07625692076701,8.83535301806648e-06,0.000750599612825312,0.000593904320992123,1663,"tags=43%, list=16%, signal=37%","Kcnd2/Dpp6/Ghrl/Cacna1h/Ntrk3/Kcnq2/Nfasc/Pawr/Cntnap2/Cacng4/Cacna1g/Cacng2/Cacna1e/Penk/Cacng3/Ank3/Drd1/Cacna1i/Gria1/Fgf12/Grm7/Drd5/Chrm5/Kcnq3/Scn8a/Kcnma1/Nrcam/Mtnr1b/Tnr"
"GO:0006364","GO:0006364","rRNA processing",158,-0.383900962762247,-1.8164843648071,9.56853015062583e-06,0.000750599612825312,0.000593904320992123,3012,"tags=42%, list=29%, signal=30%","Nol11/Nol7/Mphosph6/Pwp1/Nop2/Gar1/Rpl7/Bop1/Rps17/Riok1/Mrpl44/Mrto4/Nop14/Mrm3/Mrm2/Ddx52/Exosc7/Nol8/Imp4/Gtf2h5/Pop5/Naf1/Zcchc4/Rpl10a/Pwp2/Rpusd2/Rpl5/Nvl/Mettl5/Exosc10/Rpl35rt/Nat10/Riok3/Rpl7l1/Rps8/Pin4/Rpl14/Mphosph10/Las1l/Utp18/Ddx21/Rpl35a/Rpf2/Rpp30/Eif6/Ngdn/Utp11/Rpp25/Ddx18/Rrp7a/Tbl3/Rpl27/Lsm6/Znhit3/Dcaf13/Rpl26/Eri1/Exosc9/Frg1/Rpf1/Mettl18/Pop4/Rps16/Rps28/Shq1/Rps21/Bud23"
"GO:0016072","GO:0016072","rRNA metabolic process",180,-0.375918446639691,-1.80860535419296,9.28868630324802e-06,0.000750599612825312,0.000593904320992123,3072,"tags=44%, list=30%, signal=31%","Mak16/Polr1d/Nol11/Nol7/Mphosph6/Pwp1/Nop2/Gar1/Rpl7/Bop1/Rps17/Riok1/Mrpl44/Mrto4/Nop14/Mrm3/Macroh2a1/Mrm2/Ippk/Xrn1/Ddx52/Exosc7/Nol8/Imp4/Gtf2h5/Pop5/Cavin1/Naf1/Zcchc4/Polr1a/Rpl10a/Pwp2/Rpusd2/Rpl5/Nvl/Polr2e/Dis3l/Mettl5/Exosc10/Rpl35rt/Nat10/Riok3/Ercc3/Rpl7l1/Rps8/Pin4/Rpl14/Mphosph10/Las1l/Smarcb1/Utp18/Ddx21/Rpl35a/Rpf2/Rpp30/Eif6/Ubtf/Ngdn/Utp11/Rpp25/Ddx18/Rrp7a/Tbl3/Rpl27/Lsm6/Znhit3/Dcaf13/Rpl26/Eri1/Exosc9/Frg1/Rpf1/Mettl18/Pop4/Rps16/Rps28/Shq1/Rps21/Bud23"
"GO:0099560","GO:0099560","synaptic membrane adhesion",28,0.648447636055476,2.22446675767395,1.22326089614388e-05,0.000900884448554322,0.000712815671056758,1321,"tags=61%, list=13%, signal=53%","Pcdh17/Cdh6/Cadm1/Lrrc4c/Lrfn5/Nlgn1/Ptprf/Epha3/Mdga2/Nrxn1/Ptprs/Ntng1/Cdh9/Gpc4/Magi2/Flrt3/Slitrk1"
